State,Alterskategorie,Typ,Anzahl,Meta,Type,Content
Baar,0-4,Schweizer,454,,,
Baar,5-9,Schweizer,368,,,
Baar,10-14,Schweizer,380,,,
Baar,15-19,Schweizer,440,,,
Baar,20-24,Schweizer,497,,,
Baar,25-29,Schweizer,546,,,
Baar,30-34,Schweizer,528,,,
Baar,35-39,Schweizer,484,,,
Baar,40-44,Schweizer,539,,,
Baar,45-49,Schweizer,687,,,
Baar,50-54,Schweizer,726,,,
Baar,55-59,Schweizer,627,,,
Baar,60-64,Schweizer,502,,,
Baar,65-69,Schweizer,477,,,
Baar,70-74,Schweizer,444,,,
Baar,75-79,Schweizer,304,,,
Baar,80-84,Schweizer,222,,,
Baar,85-89,Schweizer,102,,,
Baar,90-94,Schweizer,32,,,
Baar,95-99,Schweizer,8,,,
Baar,100+,Schweizer,0,,,
Baar,0-4,Schweizerinnen,373,,,
Baar,5-9,Schweizerinnen,373,,,
Baar,10-14,Schweizerinnen,376,,,
Baar,15-19,Schweizerinnen,484,,,
Baar,20-24,Schweizerinnen,490,,,
Baar,25-29,Schweizerinnen,555,,,
Baar,30-34,Schweizerinnen,521,,,
Baar,35-39,Schweizerinnen,509,,,
Baar,40-44,Schweizerinnen,566,,,
Baar,45-49,Schweizerinnen,674,,,
Baar,50-54,Schweizerinnen,723,,,
Baar,55-59,Schweizerinnen,630,,,
Baar,60-64,Schweizerinnen,502,,,
Baar,65-69,Schweizerinnen,488,,,
Baar,70-74,Schweizerinnen,474,,,
Baar,75-79,Schweizerinnen,404,,,
Baar,80-84,Schweizerinnen,279,,,
Baar,85-89,Schweizerinnen,193,,,
Baar,90-94,Schweizerinnen,70,,,
Baar,95-99,Schweizerinnen,15,,,
Baar,100+,Schweizerinnen,3,,,
Baar,0-4,Ausländer,245,,,
Baar,5-9,Ausländer,222,,,
Baar,10-14,Ausländer,190,,,
Baar,15-19,Ausländer,172,,,
Baar,20-24,Ausländer,172,,,
Baar,25-29,Ausländer,268,,,
Baar,30-34,Ausländer,418,,,
Baar,35-39,Ausländer,457,,,
Baar,40-44,Ausländer,384,,,
Baar,45-49,Ausländer,374,,,
Baar,50-54,Ausländer,302,,,
Baar,55-59,Ausländer,240,,,
Baar,60-64,Ausländer,113,,,
Baar,65-69,Ausländer,80,,,
Baar,70-74,Ausländer,54,,,
Baar,75-79,Ausländer,57,,,
Baar,80-84,Ausländer,21,,,
Baar,85-89,Ausländer,9,,,
Baar,90-94,Ausländer,2,,,
Baar,95-99,Ausländer,0,,,
Baar,100+,Ausländer,0,,,
Baar,0-4,Ausländerinnen,246,,,
Baar,5-9,Ausländerinnen,214,,,
Baar,10-14,Ausländerinnen,191,,,
Baar,15-19,Ausländerinnen,130,,,
Baar,20-24,Ausländerinnen,147,,,
Baar,25-29,Ausländerinnen,262,,,
Baar,30-34,Ausländerinnen,398,,,
Baar,35-39,Ausländerinnen,377,,,
Baar,40-44,Ausländerinnen,348,,,
Baar,45-49,Ausländerinnen,287,,,
Baar,50-54,Ausländerinnen,214,,,
Baar,55-59,Ausländerinnen,174,,,
Baar,60-64,Ausländerinnen,87,,,
Baar,65-69,Ausländerinnen,77,,,
Baar,70-74,Ausländerinnen,47,,,
Baar,75-79,Ausländerinnen,46,,,
Baar,80-84,Ausländerinnen,21,,,
Baar,85-89,Ausländerinnen,10,,,
Baar,90-94,Ausländerinnen,3,,,
Baar,95-99,Ausländerinnen,0,,,
Baar,100+,Ausländerinnen,1,,,
,,,,1,year,2016
