"State","Sektor","Betriebe","Beschäftigte","Meta","Type","Content"
"Baar","Dienstleistung","3042","18873","","",""
"Baar","Industrie und Gewerbe","407","4139","","",""
"Baar","Land- und Forstwirtschaft","81","314","","",""
"Cham","Dienstleistung","1517","7692","","",""
"Cham","Industrie und Gewerbe","219","1990","","",""
"Cham","Land- und Forstwirtschaft","62","186","","",""
"Hünenberg","Dienstleistung","1004","5493","","",""
"Hünenberg","Industrie und Gewerbe","156","1197","","",""
"Hünenberg","Land- und Forstwirtschaft","63","282","","",""
"Menzingen","Dienstleistung","229","1260","","",""
"Menzingen","Industrie und Gewerbe","53","214","","",""
"Menzingen","Land- und Forstwirtschaft","96","271","","",""
"Neuheim","Dienstleistung","179","541","","",""
"Neuheim","Industrie und Gewerbe","37","345","","",""
"Neuheim","Land- und Forstwirtschaft","29","65","","",""
"Oberägeri","Dienstleistung","366","1330","","",""
"Oberägeri","Industrie und Gewerbe","62","340","","",""
"Oberägeri","Land- und Forstwirtschaft","79","221","","",""
"Risch","Dienstleistung","907","6482","","",""
"Risch","Industrie und Gewerbe","117","4054","","",""
"Risch","Land- und Forstwirtschaft","43","128","","",""
"Steinhausen","Dienstleistung","837","6477","","",""
"Steinhausen","Industrie und Gewerbe","141","1938","","",""
"Steinhausen","Land- und Forstwirtschaft","18","46","","",""
"Unterägeri","Dienstleistung","527","2386","","",""
"Unterägeri","Industrie und Gewerbe","100","694","","",""
"Unterägeri","Land- und Forstwirtschaft","51","138","","",""
"Walchwil","Dienstleistung","255","734","","",""
"Walchwil","Industrie und Gewerbe","34","292","","",""
"Walchwil","Land- und Forstwirtschaft","43","106","","",""
"Zug","Dienstleistung","6551","34198","","",""
"Zug","Industrie und Gewerbe","326","6453","","",""
"Zug","Land- und Forstwirtschaft","42","125","","",""
"","","","","1","year","2015 prov."
