"Identifikator","Kennzahl","Beschreibung","Quelle"
"01","127'642","ständige Wohnbevölkerung des Kantons Zug Ende 2019","Automatisiert mit 01-01-01"
"01-02","32.2%","Anteil Einpersonenhaushalte an allen Haushalten im Kanton Zug (2019)","Automatisiert mit 01-02-01"
"01-03","47.8%","Anteil Katholiken an der ständigen Wohnbevölkerung des Kantons Zug (2019)","Automatisiert mit 01-03-01"
"01-04","80.3%","Anteil Personen mit Deutsch (oder Schweizerdeutsch) als Hauptsprache im Haushalt (2019)","Automatisiert mit 01-04-01"
"01-05","169'238","prognostizierte Bevölkerung des Kantons Zug für 2050 (mittleres Szenario)","Automatisiert mit 01-05-01"
"01-06","538","Geburtenüberschuss (Geburten minus Todesfälle) im Kanton Zug im Jahr 2019)","Automatisiert mit 01-06-01"
"01-07","253","Wanderungssaldo (Zuwanderung minus Abwanderung) Kanton Zug im Jahr 2019","Automatisiert mit 01-07-01"
"02-01","84.3 m<sup>2</sup>","Überbaute Fläche pro Einwohner und Beschäftigte im Kanton Zug (nur innerhalb Bauzonen, 2017)","Automatisiert mit 02-01-02"
"02-02","338","Stunden über dem Ozon-Grenzwert im Jahr 2020 (Zugerberg)","Automatisiert mit 02-02-02"
"03","NA%","Arbeitslosenquote im Kanton Zug im Dezember 2021","Automatisiert mit 03-00-03"
"03-01","6'805","Medianlohn (Netto) im Kanton Zug für Vollzeiterwersbtätige 2018","Manuell erstellt"
"04","34'059","Eingetragene Unternehmen gemäss Handelsregister im Kanton Zug (2019)","Automatisiert mit 04-00-03"
"05","2'500 Franken","Miete (Median) für eine 4-Zimmerwohnung im Kanton Zug (Angebotspreise gemäss Wüest Partner, 3. Quartal 2020)","Automatisiert mit 05-00-02"
"06","78.7%","Anteil der Beschäftigten im Kanton Zug im Dienstleistungssektor (2018)","Automatisiert mit 06-00-01"
"07-01","55'820 m<sup>3</sup>","Gesamte Holzernte im Kanton Zug (2019)","Automatisiert mit Kennzahlenfile"
"07-02","405","Anzahl erlegter Rehe im Kanton Zug (2018)","Automatisiert mit Kennzahlenfile"
"07-03","549","Anzahl Landwirtschaftsbetriebe im Kanton Zug (2019)","Automatisiert mit 07-03-01"
"08","30.1%","Anteil des Enegieverbrauchs für Raumwärme am gesamten Energieverbrauch (2019, gesamte Schweiz)","Automatisiert mit 08-00-04"
"09","40.8%","Anteil Einfamilienhäuser an allen Gebäuden mit Wohnnutzung im Kanton Zug (2018)","Automatisiert mit 09-00-01"
"10","278'756","Anzahl Logiernächte im Kanton Zug (2019)","Automatisiert mit 10-00-01"
"11-01","39'400","Zupendelnde in den Kanton Zug (Durchschnitt 2016-2018)","Manuell erstellt"
"11-02","86'373","Anzahl Personenwagen im Kanton Zug (2019)","Automatisiert mit 11-02-03"
"12","42","Geschäftsstellen von Banken im Kanton Zug (2019)","Nicht automatisiert, Daten unter https://data.snb.ch/de/topics/banken#!/cube/bastdagsua"
"13-02","1.6%","Sozialhilfequote im Kanton Zug in Prozent der Bevölkerung (2019)","Automatisiert mit 13-02-01"
"13-03","985'845'842 Franken","Total Beiträge an AHV, IV, EO und ALV aus dem Kanton Zug (2019)","Manuell erstellt"
"14-01","109.5","Hospitalisierungsrate im Kanton Zug (Anzahl Personen pro 1'000 Personen welche im Jahr 2019 mindestens einmal hospitalisiert wurden)","Automatisiert mit 14-01-01"
"14-02","1.4%","Anteil amtlicher Qualitätsbescheinigungen (Lebensmittelkontrollen) im Kanton Zug mit ungenügendem Ergebnis (2019)","Manuell erstellt"
"15","29.3%","Anteil der Zuger Bevölkerung (ab 25 Jahren) mit einem Hochschulabschluss (2019)","Automatisiert mit 15-00-01"
"15-02","11'637","Anzahl Schülerinnen und Schüler an gemeindlichen Schulen (Stufe Kindergarten, Primarschule und Sekundarsschule I) im Kanton Zug (15.11.2019)","Manuell erstellt"
"15-03","251","Anzahl Lernende in kantonalen Brückenangeboten (2019/20)","Automatisiert mit 15-03-01"
"15-04","1'422","Anzahl Lehrbetriebe im Kanton Zug (2020/21)","Automatisiert mit 15-04-02"
"15-05","23.8%","Gymnasiale Maturitätsquote im Kanton Zug (Anteil 25-Jährige mit Gymnasialer Matura, 2018)","Automatisiert mit 15-05-01"
"15-06","3'002","Anzahl Studierende aus dem Kanton Zug (2019/20)","Automatisiert mit 15-06-01"
"15-07","1'648","Anzahl Laufbahnberatungen durch das BIZ Amt für Berufsberatung (2019)","Automatisiert mit 15-07-01"
"16-01","10'399'165 Franken","Ausgaben für die kantonale Kulturförderung im Kanton Zug (2019)","Manuell erstellt"
"16-02","2'145'513 Franken","Auszahlungen aus dem SWISSLOS-Sportfonds im Kanton Zug (2019)","Automatisiert mit 16-00-01"
"17","14.3%","Frauenanteil in der Zuger Regierung (2019-2022)","Manuell erstellt"
"18-01","2'685.5 Franken","Beitrag pro Einwohner/in an den nationalen Finanzausgleich (2020 (prov.))","Automatisiert mit 18-01-02"
"18-02","175.4 Mio Franken","Ertrags-/Aufwandüberschuss Kantonale Verwaltung Zug (2019)","Manuell erstellt"
"18-04","3'412 Mio Franken","Steuereinnahmen der Zuger Steuerverwaltung (2019)","Manuell erstellt"
"19-01","268","Verurteilungen wegen Verstössen gegen das Strafgesetz (2019)","Automatisiert mit 19-01-01"
"19-02","151'302","Anzahl Schutzplätze in Schutzräumen im Kanton Zug (2020)","Automatisiert mit 19-02-01"
