Gemeinde,Geschlecht,Anzahl,Meta,Type,Content
Baar,Männer,3042,,,
Baar,Frauen,407,,,
Cham,Männer,1517,,,
Cham,Frauen,219,,,
Hünenberg,Männer,1004,,,
Hünenberg,Frauen,156,,,
Menzingen,Männer,229,,,
Menzingen,Frauen,53,,,
Neuheim,Männer,179,,,
Neuheim,Frauen,37,,,
Oberägeri,Männer,366,,,
Oberägeri,Frauen,62,,,
Risch,Männer,907,,,
Risch,Frauen,117,,,
Steinhausen,Männer,837,,,
Steinhausen,Frauen,141,,,
Unterägeri,Männer,527,,,
Unterägeri,Frauen,100,,,
Walchwil,Männer,255,,,
Walchwil,Frauen,34,,,
Zug,Männer,6551,,,
Zug,Frauen,326,,,
,,,1,year,2017
